Domain,Name,Privacy Policy,Category,Opt-Out Method,Opt Out URL,Email,Address,Phone Number,Location,Data Broker Affiliation,URL,Spurce URL,In Main List?
firstorion.com,First Orion Corporation,https://firstorion.com/privacy-policy/,Identity Verification Services,Unclear,,cdenton@firstorion.com,"500 President Clinton Ave., Ste. 215Little Rock, AZUnited States",,Arizona,Unknown,https://firstorion.com,https://privacyrights.org/data-brokers/first-orion-corporation,TRUE
earlywarning.com,"Early Warning Services, Llc",https://www.earlywarning.com/privacy-policy.html,Identity Verification Services,No,,privacyoffice@earlywarning.com,"16552 N. 90th StreetScottsdale, AZ 85260United States",(480) 656-5043,Arizona,Unknown,https://www.earlywarning.com,https://privacyrights.org/data-brokers/early-warning-services-llc,FALSE
mapsmoji.com,Mapsmoji,http://mapsmoji.com/privacy/,Vague,No,,email@mapsmoji.com,"PO Box 4028 San Bruno, CA 94066United States",,California,Unknown,http://mapsmoji.com/,https://privacyrights.org/data-brokers/mapsmoji,FALSE
advancedbackgroundchecks.com,Advanced Background Checks,http://www.advancedbackgroundchecks.com/privacy ; https://www.advancedbackgroun…,Identity Verification Services,Unclear,,,"P.O. Box 189040Sacramento, CA 95818United States",,California,Unknown,http://www.advancedbackgroundchecks.com/,https://privacyrights.org/data-brokers/advanced-background-checks,TRUE
archives.com,Archives,https://www.ancestry.com/cs/legal/privacystatement?hideHeader=1,People Search,Yes - by email,,dpo@ancestry.com,"Privacy Office 153 Townsend Street, Suite 800San Francisco, CA 94107United States",1-888-896-4442;,California,Ancestry,http://www.archives.com/,https://privacyrights.org/data-brokers/archives,TRUE
experian.com,"Experian Marketing Solutions, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,Marketing Data Broker,Unclear,,nerissa.rush@experian.com,"475 Anton Blvd.Costa Mesa, CA 92626United States",(714) 830-7617,California,Experian,http://www.experian.com/marketing-services/marketing-services.html,https://privacyrights.org/data-brokers/experian-marketing-solutions-inc,TRUE
lciinc.com,"Lundquist Consulting, Inc.",http://www.lciinc.com/company/privacyNotice.htm,Identity Verification Services,No,,jvolk@verisk.com,"111 Anza Blvd., # 310Burlingame, CA 94553United States",(201) 469-3210,California,Verispy,http://www.lciinc.com/,https://privacyrights.org/data-brokers/lundquist-consulting-inc,FALSE
myyp.com,Valley Yellow Pages (Myyp.Com),http://www.myyp.com/privacy,People Search,No,,vyp@myyp.com;webmaster@myyp.com,"1850 N. Gateway Blvd.Fresno, CA 93727United States",,California,Unknown,http://www.myyp.com,https://privacyrights.org/data-brokers/valley-yellow-pages-myypcom,FALSE
peopleg2.com,Peopleg2,http://www.peopleg2.com/resources/privacy-policy.html,Vague,No,,,"135 South State College Blvd., Suite 200Brea, CA 92821United States",800-630-2880,California,Unknown,http://www.peopleg2.com/resources/terms-of-use.html,https://privacyrights.org/data-brokers/peopleg2,FALSE
searchbug.com,Search Bug,http://www.searchbug.com/privacy.aspx,People Search,No,,,"364 2nd St, Suite 4Encinitas, CA 92024United States",760-454-7301 ; 8,California,Unknown,http://www.searchbug.com,https://privacyrights.org/data-brokers/search-bug,FALSE
rootsweb.com,Roots Web (Associated With Ancestry.Com),https://www.ancestry.com/cs/privacyphilosophy,Vague,Unclear,,content@ancestry.com,"153 Townsend St., Ste. 800San Francisco, CA 94107United States",,California,Ancestry,https://home.rootsweb.com/,https://privacyrights.org/data-brokers/roots-web-associated-ancestrycom,FALSE
parasolleads.com,Parasol Media Inc.,https://v2.parasolleads.com/parasolleads-privacy-policy/,Marketing Data Broker,Unclear,,jschwartz@parasolleads.com,"20750 Ventura Blvd, Suite 201Woodland hills, CA 91364United States",,California,Unknown,https://v2.parasolleads.com,https://privacyrights.org/data-brokers/parasol-media-inc,TRUE
whitepages.plus,Whitepages+,https://whitepages.plus/privacy,People Search,No,,mail@whitepages.plus,"588 Sutter St. #140San Francisco, CA 94102United States",,California,Whitepages,https://whitepages.plus/,https://privacyrights.org/data-brokers/whitepages,FALSE
advantagesolutions.net,Advantage Sales & Marketing Llc,https://www.advantagesolutions.net/pages/privacy,Marketing Data Broker,Unclear,,alex@take5mg.com,"18100 Von Karman Avenue, Suite 1000Irvine, CA 92612United States",,California,Unknown,https://www.advantagesolutions.net/,https://privacyrights.org/data-brokers/advantage-sales-marketing-llc,FALSE
backgroundsonline.com,"Iq Data Systems, Inc. Dba Backgrounds Online",https://www.backgroundsonline.com/privacy-policy,Identity Verification Services,Yes - by email,,nate.waymire@backgroundsonline.com,"1915 21st StreetSacramento, CA 95811United States",,California,Peopleconnect,https://www.backgroundsonline.com/,https://privacyrights.org/data-brokers/iq-data-systems-inc-dba-backgrounds-online,TRUE
cicreports.com,Contemporary Information Corp.,https://www.cicreports.com/consumer-assistance/#privacypolicy,People Search,Unclear,,"42913 Campliance DeptLancaster, CA 93535United States","42913 CAPITAL DR, STE 101Lancaster, CA 93535United States",,California,Unknown,https://www.cicreports.com/,https://privacyrights.org/data-brokers/contemporary-information-corp,TRUE
confi-chek.com,Confi-Chek,,People Search,No,,customercare@peoplefinders.com,"1821 Q StreetSacramento, CA 95811United States",,California,Peopleconnect,https://www.confi-chek.com/,https://privacyrights.org/data-brokers/confi-chek,FALSE
corelogic.com,"Teletrack, Llc",https://www.corelogic.com/privacy.aspx,Marketing Data Broker,Yes - by email,,dghazaleh@corelogic.com,"10277 Scripps Ranch BlvdSan Diego, CA 92131United States",,California,Corelogic,https://www.corelogic.com,https://privacyrights.org/data-brokers/teletrack-llc,TRUE
corelogic.com,"Corelogic Solutions, Llc",https://www.corelogic.com/privacy.aspx,Vague,Unclear,,dghazaleh@corelogic.com,"40 Pacifica, Ste 900Irvine, CA 92618United States",,California,Corelogic,https://www.corelogic.com/,https://privacyrights.org/data-brokers/corelogic-solutions-llc,TRUE
corelogic.com,"Corelogic Credco, Llc",https://www.corelogic.com/privacy.aspx,Vague,Yes - by email,,dghazaleh@corelogic.com,"10277 Scripps Ranch BlvdSan Diego, CA 92131United States",,California,Corelogic,https://www.corelogic.com/privacy.aspx,https://privacyrights.org/data-brokers/corelogic-credco-llc,TRUE
datatree.com,First American Data Tree Llc,https://www.datatree.com/privacy-policy,Vague,No,,britchie-boland@firstam.com,"4 First American Way,Santa Ana, CA 92707United States",,California,Unknown,https://www.datatree.com,https://privacyrights.org/data-brokers/first-american-data-tree-llc,FALSE
enformion.com,Enformion,https://www.enformion.com/en/privacy/,Vague,No,,"15470 Flight Path DrDr., Brooksville, FL 34604United States","1915 21st StreetSacraemento, CA 95811United States",,California,Unknown,https://www.enformion.com,https://privacyrights.org/data-brokers/enformion,FALSE
experian.com,"Experian Information Solutions, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,Identity Verification Services,Unclear,,nerissa.rush@experian.com,"475 Anton Blvd.Costa Mesa, CA 92626United States",,California,Experian,https://www.experian.com/rentbureau/renter-credit.html,https://privacyrights.org/data-brokers/experian-information-solutions-inc,TRUE
goodhire.com,Goodhire,https://www.goodhire.com/privacy,Vague,Unclear,,privacy@goodhire.com,"555 Twin Dolphin DR, # 200Redwood City, CA 94065United States",,California,Peopleconnect,https://www.goodhire.com/,https://privacyrights.org/data-brokers/goodhire,TRUE
idanalytics.com,"Id Analytics, Llc",https://www.idanalytics.com/privacy-policy/,Identity Verification Services,No,,ken_meiser@symantec.com,"15253 Avenue of ScienceSan Diego, CA 92128United States",,California,Unknown,https://www.idanalytics.com,https://privacyrights.org/data-brokers/id-analytics-llc,TRUE
inflection.com,"Inflection Risk Solutions, Llc",https://www.inflection.com/privacy-policy,Identity Verification Services,Unclear,,elizabeth@goodhire.com,"555 Twin Dolphin Dr., Ste 200REDWOOD CITY, CA 94065United States",,California,Peopleconnect,https://www.inflection.com/,https://privacyrights.org/data-brokers/inflection-risk-solutions-llc,FALSE
inflection.com,"Inflection.Com, Inc",https://www.inflection.com/privacy-policy,Identity Verification Services,Yes - by email,,elizabeth@goodhire.com,"555 Twin Dolphin Dr., Ste 200REDWOOD CITY, CA 94065United States",,California,Unknown,https://www.inflection.com/,https://privacyrights.org/data-brokers/inflectioncom-inc,FALSE
infocore.com,Infocore Inc.,https://infocore.com/infocore-privacy-policy/,Marketing Data Broker,No,,info@infocore.com,"5973 Avenida Encinas Suite 218,Carlsbad, CA 92008United States",,California,Unknown,https://www.infocore.com,https://privacyrights.org/data-brokers/infocore-inc,FALSE
instantcheckmate.com,"Instant Checkmate, Llc",https://www.instantcheckmate.com/privacy_policy,People Search,Unclear,,support@instantcheckmate.com,"3111 Camino Del Rio N, Suite 400San Diego, CA 92108United States",,California,Unknown,https://www.instantcheckmate.com,https://privacyrights.org/data-brokers/instant-checkmate-llc,TRUE
sagestreamllc.com,"Sagestream, Llc",https://www.sagestreamllc.com/privacy-policy/,Identity Verification Services,Unclear,,ken_meiser@symantec.com,"15253 Avenue of ScienceSan Diego, CA 92128United States",,California,Unknown,https://www.sagestreamllc.com,https://privacyrights.org/data-brokers/sagestream-llc,TRUE
truedata.co,"Twine Data, Inc",https://www.truedata.co/privacy-policy/,Marketing Data Broker,Yes - by email,,bmorgan@twinedata.com,"555 W 5th Street, 35th FloorLos Angeles, CA 90013United States",,California,Unknown,https://www.truedata.co/,https://privacyrights.org/data-brokers/twine-data-inc,FALSE
truthfinder.com,"Truthfinder, Llc",https://www.truthfinder.com/privacy-policy/,People Search,Yes - by email,,help@truthfinder.com,"600 B Street, 9th FloorSan Diego, CA 92101United States",,California,Unknown,https://www.truthfinder.com,https://privacyrights.org/data-brokers/truthfinder-llc,TRUE
verisk.com,Quality Planning Corporation,https://www.verisk.com/privacy-trademarks-use/iso-online-privacy-notice/,Vague,No,,jvolk@verisk.com,"388 Market Street, # 750San Francisco, CA 94111United States",,California,Verispy,https://www.verisk.com,https://privacyrights.org/data-brokers/quality-planning-corporation,TRUE
viantinc.com,Viant Technology Llc,https://www.viantinc.com/privacy-policy/,Marketing Data Broker,Unclear,,bnojima@viantinc.com,"4 Park Plaza, Suite 1500Irvine, CA 92614United States",,California,Unknown,https://www.viantinc.com,https://privacyrights.org/data-brokers/viant-technology-llc,TRUE
bisi.com,"Background Information Services, Inc. (Bis)",http://www.bisi.com/contact.php,People Search,No,,compliance@bisi.com,"1800 30th Street, Suite 204Boulder, CO 80301United States",,Colorado,Unknown,http://www.bisi.com/,https://privacyrights.org/data-brokers/background-information-services-inc-bis,FALSE
wiland.com,"Wiland, Inc.",https://wiland.com/privacy-policy/,Marketing Data Broker,No,,privacy@wiland.com,"7420 E. Dry Creek ParkwayNiwot, CO 80503United States",,Colorado,Unknown,https://wiland.com,https://privacyrights.org/data-brokers/wiland-inc,FALSE
advcredit.com,"Advantage Credit, Inc.",https://www.advcredit.com/privacy-policy/,Identity Verification Services,Yes - by email,,info@advcredit.com,"32065 Castle Court, Suite300Evergreen, CO 80439United States",,Colorado,Unknown,https://www.advcredit.com/,https://privacyrights.org/data-brokers/advantage-credit-inc,TRUE
factualdata.com,"Fd Holdings, Llc Dba Factual Data",https://www.factualdata.com/privacy.html?link=Footer-PrivacyPolicy,Vague,No,,"ATTN: Compliance Officer250 E Broad Street, Suite 2100Columbus, OH 43215United States","5100 Hahns Peak Drive.Loveland, CO 80538United States",,Colorado,Unknown,https://www.factualdata.com/,https://privacyrights.org/data-brokers/fd-holdings-llc-dba-factual-data,FALSE
kbmg.com,Kbm Group Llc,https://www.kbmg.com/about-us/privacy/,Marketing Data Broker,Yes - by email,,"3 Columbus CircleNew York, NY 10019United States","2050 Dogwood Street, Suite 220Louisville, CO 80027United States",,Colorado,Unknown,https://www.kbmg.com/,https://privacyrights.org/data-brokers/kbm-group-llc,FALSE
refinitiv.com,Thomas Reuters (Crc) Llc (D/B/A Refinitiv),https://www.refinitiv.com/en/policies/privacy-statement,Vague,No,,privacy.enquiries@refinitiv.com,"One Station PlaceStamford, CT 06902United States",,Connecticut,Unknown,https://www.refinitiv.com/en,https://privacyrights.org/data-brokers/thomas-reuters-crc-llc-dba-refinitiv,FALSE
accudata.com,"Accudata Integrated Marketing, Inc.",http://www.accudata.com/terms-use-privacy-policy/,Marketing Data Broker,Unclear,,marketing@accudata.com,"5220 Summerlin Commons Blvd., Ste 200, Ft. Myers, FL 33907United States",,Florida,Unknown,http://www.accudata.com/,https://privacyrights.org/data-brokers/accudata-integrated-marketing-inc,FALSE
background-checks-systems.com,"Bcs Background Screening, Llc",http://www.background-checks-systems.com/privacy_policy.htm,Identity Verification Services,No,,888-464-0018,"1172 South Dixie Hwy – #257Coral Gables, FL 33146United States",,Florida,Unknown,http://www.background-checks-systems.com,https://privacyrights.org/data-brokers/bcs-background-screening-llc,FALSE
corporationwiki.com,Corporation Wiki,http://www.corporationwiki.com/privacy-policy,People Search,Unclear,,(407) 259-2428,"127 W. Fairbanks Ave, Ste 335Winter Park, FL 32789United States",,Florida,Unknown,http://www.corporationwiki.com,https://privacyrights.org/data-brokers/corporation-wiki,FALSE
