"Data Broker Name","Email Address (Accessible to the public)","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Allant Group, LLC","privacy [at] allantgroup.com","http://www.allantgroup.com/","2655 Warrenville RdSuite 200Downers Grover, IL 60515United States","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Allant does not collect consumer data directly. When we use third party data we adhere to the terms and conditions defined by those parties.","01/29/2020"
"Exponential Interactive, Inc. doing business as VDX.tv","privacy [at] VDX.tv","http://vdx.tv","5858 Horton StreetSuite 300Emeryville, CA 94133United States","7.	CONTACT INFORMATION

Please contact us with any questions or concerns about this Policy using the information below:

United States Address
Exponential Interactive, Inc. doing business as VDX.tv
Attn: Legal Department
5858 Horton Street, Suite 300
Emeryville, CA 94608

United Kingdom Address
Exponential Interactive, Inc.
Attn: Data Privacy Officer
30 Stamford Street
London, SE19LQ

Email 
privacy@vdx.tv

Phone
(510) 250-5500

To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you.
","7.	CONTACT INFORMATION

Please contact us with any questions or concerns about this Policy using the information below:

United States Address
Exponential Interactive, Inc. doing business as VDX.tv
Attn: Legal Department
5858 Horton Street, Suite 300
Emeryville, CA 94608

United Kingdom Address
Exponential Interactive, Inc.
Attn: Data Privacy Officer
30 Stamford Street
London, SE19LQ

Email 
privacy@vdx.tv

Phone
(510) 250-5500

To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you.
","N/A.","01/29/2020"
"Infocore, Inc.","info [at] infocore.com","http://www.infocore.com","2766 Gateway RoadCarlsbad, CA 92009United States","contact the company ","contact the company","","01/16/2020"
"LO-EmailListcom LLC","JayDunsing [at] gmail.com","http://loanofficercontactinfo.com","7200 East Ashling LaneTucson, AZ 85715United States","Fill out a form on my website or simply send an email making the request.  However, the lists we provide are for business to business purposes only.  We will be launching a secondary website specialtycontactdatabases.com in January 2020.","Fill out a form on my website or simply send an email making the request.  However, the lists we provide are for business to business purposes only.  We will be launching a secondary website specialtycontactdatabases.com in January 2020.","","01/16/2020"
"Consumerbase LLC/DBA Exact Data","rob.sullivan [at] exactdata.com","http://www.exactdata.com","33 N. Dearborn DriveSuite 200Chicago, IL 60602United States","Through a link on our website as well as at our compliance website Alerts.com.","Through a link on our website as well as at our compliance website Alerts.com.","","01/14/2020"
"The Alesco Group LLC","michael [at] alescodata.com","http://Alescodata.com","5276 Summerlin Commons Way703Fort Myers, FL 33907United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Response Solutions Group LLC","michael [at] alescodata.com","http://responsesoulutionsllc.com","5276 Summerlin Commons Way703Fort Myers, FL 33907United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Stat Resource Group LLC DBA Statlistics","michael [at] alescodata.com","http://statlistics.com","5276 Summerlin Commons Way703Fort Myers, FL 33907United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"ZoomInfo","privacy [at] zoominfo.com","http://www.zoominfo.com","805 Broadway#900Vancouver, WA 98660United States","Consumers may manage their data management preferences through our comprehensive privacy center: 
https://www.zoominfo.com/about-zoominfo/privacy-center","Consumers may manage their data management preferences through our comprehensive privacy center: 
https://www.zoominfo.com/about-zoominfo/privacy-center","Our data collection and management practices can be located here: 
https://www.zoominfo.com/business/about-zoominfo/privacy-policy","01/29/2020"
"Blue Hill Marketing Solutions, inc","emailprivacy [at] liftbasedata.com","http://www.liftengine.com","LiftEngine-1 Blue Hill PlazaPO Box 1674Pearl River, NY 10965United States","Complete a form at https://www.liftbasedata.com/request-to-know/","https://www.liftbasedata.com/request-to-know/","","01/22/2020"
